id,u_address,u_phone
1,42958 Katie Drive,537-201-1500
2,3 West Terrace,383-163-0995
3,2373 Bartillon Circle,138-344-8973
4,15342 Bluestem Avenue,211-261-3738
5,23 Mayfield Junction,782-113-6741
6,73 Autumn Leaf Drive,870-796-3755
7,9 Continental Trail,601-350-8670
8,2 Thompson Terrace,423-455-7605
9,6 Coleman Alley,240-432-9358
10,67 Atwood Alley,107-182-3086
11,9 Fieldstone Alley,646-866-2587
12,0769 Little Fleur Center,654-734-9615
13,46 Vermont Parkway,756-979-8384
14,9 Moose Road,239-729-9382
15,84 Quincy Way,353-447-7007
16,6 Warner Plaza,643-547-8236
17,241 Oneill Pass,274-729-6201
18,5333 Browning Drive,425-901-5191
19,678 Hazelcrest Court,435-155-4549
20,68121 Debra Point,854-258-4311
21,71 Brentwood Crossing,356-708-1168
22,339 Buell Hill,592-737-5180
23,797 Fair Oaks Avenue,557-518-9564
24,419 Oak Terrace,513-801-2607
25,628 Scoville Parkway,957-126-8127
26,9464 Bellgrove Lane,496-190-2671
27,110 Schiller Plaza,276-310-1435
28,6 Gerald Plaza,425-851-2652
29,66 Park Meadow Plaza,715-572-6492
30,897 Buena Vista Hill,663-857-8810
31,30 Thackeray Junction,484-710-7973
32,3 Ridgeway Circle,750-173-8180
33,4662 Orin Terrace,564-823-2138
34,50815 Vidon Street,518-174-7120
35,4 Hansons Hill,798-534-7963
36,0585 Barby Parkway,794-383-3479
37,96 Katie Street,876-469-1633
38,7 Rieder Trail,594-138-3827
39,0 Porter Circle,731-688-0264
40,96512 Spenser Plaza,995-416-8939
41,99139 Anhalt Road,409-275-9837
42,9 Westerfield Pass,213-741-4634
43,2 Stephen Place,134-812-6276
44,09979 Meadow Valley Alley,432-921-1021
45,84 Morning Terrace,339-290-5101
46,28303 Elka Avenue,419-700-7370
47,92274 Ohio Plaza,329-710-3742
48,6030 Bashford Trail,542-410-7258
49,59544 Bowman Street,817-155-1333
50,9 Shopko Center,521-481-8305
51,34172 Buena Vista Parkway,447-218-5178
52,45870 Columbus Trail,974-140-6336
53,27 Melody Road,785-351-8266
54,30 Sullivan Crossing,634-669-1039
55,774 Barby Park,851-672-6900
56,423 Cottonwood Pass,575-521-5528
57,8048 Dapin Circle,913-327-9682
58,9 Brickson Park Drive,410-200-6097
59,64 Jackson Center,902-569-4627
60,83225 Sutherland Street,256-304-2582
61,246 Dakota Point,510-502-8132
62,9 Mesta Place,357-855-6965
63,9980 Arkansas Hill,312-608-5168
64,03 Village Green Alley,544-911-9202
65,2185 Forster Hill,228-862-2987
66,7 Everett Crossing,907-385-8553
67,673 Goodland Trail,744-883-0926
68,18712 Bayside Way,313-327-2568
69,45 Rowland Plaza,832-382-3293
70,37260 Jay Trail,780-423-7676
71,71106 Claremont Place,453-694-0301
72,965 Texas Lane,709-741-8943
73,5 Eastlawn Hill,131-995-9544
74,704 Swallow Court,547-277-9236
75,7383 Calypso Road,939-429-9181
76,94 Judy Alley,897-954-5231
77,7740 Linden Court,519-625-4948
78,074 Golf Course Lane,333-495-9599
79,6 Barby Junction,284-160-8452
80,695 Eastwood Court,494-429-3222
81,57 Golf View Point,764-952-1514
82,4 Sauthoff Alley,969-150-5527
83,68496 Utah Alley,265-660-8666
84,97609 Hazelcrest Park,320-669-3378
85,3974 Lunder Point,963-869-2368
86,9 Hovde Center,239-620-3660
87,382 Arizona Trail,242-252-9013
88,5710 Moland Center,953-923-1887
89,32 Redwing Crossing,444-372-9426
90,916 Declaration Plaza,403-204-3742
91,42 Mifflin Hill,347-875-7168
92,7355 Sloan Junction,739-166-7870
93,2 7th Lane,379-821-7288
94,354 Kennedy Crossing,655-846-6229
95,6 Golden Leaf Crossing,565-496-0058
96,8928 Porter Park,701-627-4775
97,8 Canary Street,225-694-4625
98,07917 2nd Alley,128-110-1814
99,41919 Cambridge Park,240-766-3587
100,28704 Stone Corner Hill,397-665-8417
101,71521 Schiller Court,465-163-4714
102,0612 School Crossing,107-918-8911
103,629 Kennedy Point,432-696-9619
104,61754 Caliangt Trail,680-444-2446
105,32 Tony Park,673-202-5067
106,08 Northland Avenue,686-180-4213
107,0 2nd Trail,942-188-8233
108,1 Springview Trail,575-396-0655
109,2650 Golden Leaf Avenue,486-935-9356
110,861 Mariners Cove Junction,331-599-6668
111,198 Oxford Pass,881-710-2247
112,2 Roth Court,126-670-4892
113,9 Walton Alley,260-188-5268
114,6 Luster Parkway,310-971-4426
115,8 Petterle Plaza,367-652-1026
116,570 Butterfield Crossing,218-790-7827
117,33 Texas Avenue,409-360-1636
118,8 Westend Pass,855-571-8053
119,7562 Butternut Plaza,282-957-0842
120,22629 International Terrace,188-541-5107
121,8859 Pennsylvania Junction,348-512-3657
122,790 Linden Park,362-760-7874
123,24510 Gerald Avenue,375-128-4804
124,88 Sloan Pass,505-915-6327
125,27 Dunning Plaza,507-571-2151
126,5 Anniversary Circle,130-799-9120
127,52 Granby Plaza,145-257-5575
128,235 International Plaza,104-730-5974
129,1 Coolidge Place,191-526-0282
130,17672 Bobwhite Pass,527-262-5683
131,8788 Quincy Way,184-333-8108
132,366 Summerview Point,248-997-1010
133,233 Elka Terrace,450-920-0702
134,961 Londonderry Street,210-935-1700
135,709 Canary Avenue,903-319-3288
136,31 Tony Junction,817-658-6439
137,7129 Gateway Avenue,532-878-4455
138,06542 Dennis Circle,867-522-0008
139,57715 Grim Lane,597-843-3480
140,395 Duke Drive,323-777-2079
141,09869 Thierer Point,994-106-9287
142,2 Toban Plaza,909-389-1562
143,5 Schmedeman Street,196-447-8751
144,83811 Ronald Regan Parkway,130-760-4666
145,4 Rockefeller Drive,585-789-1086
146,89514 Lillian Plaza,371-221-4907
147,81 Cody Crossing,118-554-6590
148,43832 Lyons Plaza,393-565-0928
149,634 Wayridge Way,997-576-7822
150,312 International Avenue,778-304-4642
151,14 Thackeray Center,126-238-1463
152,2653 Delaware Avenue,758-902-6515
153,55 Pankratz Place,738-909-5187
154,0 Ridge Oak Avenue,969-999-9634
155,13 Buhler Crossing,958-471-5681
156,2494 Lillian Avenue,389-740-2772
157,0 Lakewood Gardens Parkway,400-830-6754
158,6 Lakewood Gardens Junction,818-625-2212
159,4 Dorton Court,280-162-3095
160,77 Arrowood Crossing,860-767-1579
